Player,Cluster
Aaron Cresswell,1
Aaron Ramsdale,0
Aaron Wan-Bissaka,3
Abdoulaye Doucouré,3
Abdukodir Khusanov,1
Abdul Fatawu Issahaku,1
Adam Armstrong,1
Adam Lallana,1
Adam Smith,1
Adam Webster,1
Adam Wharton,0
Adama Traoré,2
Albert Grønbaek,1
Alejandro Garnacho,2
Alex Iwobi,2
Alex McCarthy,1
Alex Palmer,1
Alex Scott,1
Alexander Isak,2
Alexis Mac Allister,3
Ali Al Hamadi,1
Alisson,1
Alphonse Areola,1
Altay Bayındır,1
Amad Diallo,2
Amadou Onana,0
Andreas Pereira,3
Andrew Robertson,3
André Onana,0
André,3
Andrés García,1
Andy Irving,1
Anthony Elanga,2
Anthony Gordon,2
Antoine Semenyo,2
Antonee Robinson,3
Antony,1
Antonín Kinský,1
Archie Gray,0
Arijanet Muric,1
Armando Broja,1
Armel Bella Kotchap,1
Ashley Young,0
Axel Tuanzebe,0
Axel Disasi,1
Ayden Heaven,1
Bart Verbruggen,0
Ben Brereton,1
Ben Chilwell,1
Ben Davies,0
Ben Godfrey,1
Ben Johnson,0
Ben Mee,1
Ben White,1
Benoît Badiashile,1
Bernardo Silva,3
Bernd Leno,0
Beto,2
Bilal El Khannouss,3
Billy Gilmour,1
Bobby De Cordova-Reid,1
Boubacar Kamara,0
Boubakary Soumaré,0
Brajan Gruda,1
Brennan Johnson,2
Bruno Fernandes,3
Bruno Guimarães,3
Bryan Mbeumo,2
Bukayo Saka,2
Caleb Okoli,0
Callum Hudson-Odoi,2
Callum Wilson,1
Calvin Bassey,0
Cameron Burgess,0
Cameron Archer,1
Caoimhín Kelleher,1
Carlos Baleba,3
Carlos Forbs,1
Carlos Soler,1
Casemiro,0
Charlie Taylor,1
Cheick Doucouré,1
Chidozie Obi-Martin,1
Chiedozie Ogbene,1
Chris Richards,0
Chris Wood,2
Christian Nørgaard,3
Christian Eriksen,1
Christian Walton,1
Christopher Nkunku,1
Cody Gakpo,2
Cole Palmer,2
Conor Bradley,1
Conor Chaplin,1
Conor Coady,0
Conor Townsend,1
Craig Dawson,1
Cristian Romero,0
Crysencio Summerville,1
Curtis Jones,0
Daichi Kamada,0
Dan Burn,0
Dango Ouattara,2
Daniel Muñoz,3
Danilo,1
Danny Ings,1
Danny Ward,1
Danny Welbeck,2
Dara O'Shea,0
Darwin Núñez,1
David Brooks,1
David Raya,0
Dean Henderson,0
Dean Huijsen,0
Declan Rice,3
Dejan Kulusevski,2
Destiny Udogie,3
Diego Carlos,1
Diego Gómez,1
Diogo Jota,2
Diogo Dalot,3
Djed Spence,0
Dominic Calvert-Lewin,2
Dominic Solanke,2
Dominik Szoboszlai,2
Donyell Malen,1
Dwight McNeil,1
Eberechi Eze,2
Eddie Nketiah,1
Ederson,1
Edmond-Paris Maghoma,1
Edson Álvarez,0
Elliot Anderson,3
Emerson Palmieri,3
Emi Buendía,1
