Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,Penalty Kicks Save%,SoT%,SoT/90,G/Sh,Dist,Passes Completed,TkI,TkIW,Att Challenges,Lost Challenges,Blocks,Sh Blocks,Pass Blocks,Int,Touches,Def Pen Touches,Def 3rd Touches,Mid 3rd Touches,Att 3rd Touches,Att Pen Touches,Att Take-Ons,Succ% Take-Ons,Tkld% Take-Ons,Carries,ProDist,ProgC Carries,1/3 Carries,CPA,Mis,Dis,Rec,PrgR Receiving,Fls,Fld,Off,Crs,Recov,Aerial Won,Aerial Lost,Aerial Won%
Aaron Cresswell,ENG,West Ham,DF,35,15,8,676.0,0,0,2,0,0.1,1.1,4,28,2,0.00,0.00,0.01,0.15,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,415,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50.0,50.0,228,398,4,7,0,3,0,353,2,3,2,0,28,29,7,6,53.8
Aaron Ramsdale,ENG,Southampton,GK,26,27,27,2430.0,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.30,67.1,7.4,28.6,N/a,0.00,N/a,N/a,715,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2159,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27,33,32,2884.0,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.10,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,22,25,4,70,163,22,30,42.3
Abdoulaye Doucouré,MLI,Everton,MF,32,30,29,2425.0,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,UZB,Manchester City,DF,21,6,6,503.0,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,21,11,6,579.0,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,ENG,Southampton,"FW,MF",28,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,ENG,Southampton,MF,36,14,5,361.0,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,ENG,Bournemouth,DF,34,22,17,1409.0,0,0,6,0,0.7,0.3,12,40,31,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,436,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0
Adam Webster,ENG,Brighton,DF,30,11,8,617.0,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
Adam Wharton,ENG,Crystal Palace,MF,20,20,16,1318.0,0,2,2,0,0.4,3.0,14,107,11,0.00,0.14,0.03,0.21,N/a,N/a,N/a,N/a,38.5,0.34,0.00,25.4,548,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20.0,80.0,430,1078,14,23,2,17,13,533,11,12,21,0,39,102,7,16,30.4
Adama Traoré,ESP,Fulham,"FW,MF",29,33,16,1592.0,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,29.7,0.62,0.05,14.3,386,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,89,42,33,34,21,556,145,20,29,1,92,78,24,26,48.0
Albert Grønbaek,DEN,Southampton,"FW,MF",23,4,2,143.0,0,0,0,0,0.1,0.0,1,1,3,0.00,0.00,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.4,13,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20,34,23,2146.0,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.30,0.19,N/a,N/a,N/a,N/a,34.9,1.22,0.07,17.2,635,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,139,72,66,63,48,864,281,12,41,10,52,108,3,23,11.5
Alex Iwobi,NGA,Fulham,"FW,MF",29,35,33,2796.0,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,N/a,N/a,N/a,N/a,44.4,0.90,0.14,18.2,1057,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,135,102,37,55,38,1345,224,17,17,5,120,126,6,31,16.2
Alex McCarthy,ENG,Southampton,GK,35,5,5,450.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.60,70.3,0.0,0.0,N/a,0.00,N/a,N/a,117,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0
Alex Palmer,ENG,Ipswich Town,GK,28,11,11,990.0,0,0,2,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,2.45,58.7,0.0,0.0,N/a,0.00,N/a,N/a,241,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,N/a,N/a,180,604,0,0,0,1,0,132,0,1,2,0,0,15,4,0,100.0
