,Team,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Goals,Mean of Goals,Std of Goals,Median of Assists,Mean of Assists,Std of Assists,Median of Yellow Cards,Mean of Yellow Cards,Std of Yellow Cards,Median of Red Cards,Mean of Red Cards,Std of Red Cards,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls per 90,Mean of Gls per 90,Std of Gls per 90,Median of Ast per 90,Mean of Ast per 90,Std of Ast per 90,Median of xG per 90,Mean of xG per 90,Std of xG per 90,Median of xAG per 90,Mean of xAG per 90,Std of xAG per 90,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of Passes Completed,Mean of Passes Completed,Std of Passes Completed,Median of TkI,Mean of TkI,Std of TkI,Median of TkIW,Mean of TkIW,Std of TkIW,Median of Att Challenges,Mean of Att Challenges,Std of Att Challenges,Median of Lost Challenges,Mean of Lost Challenges,Std of Lost Challenges,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh Blocks,Mean of Sh Blocks,Std of Sh Blocks,Median of Pass Blocks,Mean of Pass Blocks,Std of Pass Blocks,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen Touches,Mean of Def Pen Touches,Std of Def Pen Touches,Median of Def 3rd Touches,Mean of Def 3rd Touches,Std of Def 3rd Touches,Median of Mid 3rd Touches,Mean of Mid 3rd Touches,Std of Mid 3rd Touches,Median of Att 3rd Touches,Mean of Att 3rd Touches,Std of Att 3rd Touches,Median of Att Pen Touches,Mean of Att Pen Touches,Std of Att Pen Touches,Median of Att Take-Ons,Mean of Att Take-Ons,Std of Att Take-Ons,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of ProgC Carries,Mean of ProgC Carries,Std of ProgC Carries,Median of 1/3 Carries,Mean of 1/3 Carries,Std of 1/3 Carries,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of PrgR Receiving,Mean of PrgR Receiving,Std of PrgR Receiving,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Aerial Won,Mean of Aerial Won,Std of Aerial Won,Median of Aerial Lost,Mean of Aerial Lost,Std of Aerial Lost
0,all,26.0,26.418219461697724,4.26057865002683,23.0,21.399585921325052,9.972147926500949,15.0,15.747412008281573,10.964974817526219,1364.0,1411.376811594203,928.1980282839137,1.0,2.049689440993789,3.580377438266592,1.0,1.5279503105590062,2.238095603663033,2.0,3.020703933747412,2.6464542005104548,0.0,0.08902691511387163,0.3061331668924229,0.8,2.0666666666666664,3.1535047134688075,0.9,1.5314699792960664,1.9067806808776557,15.0,26.63768115942029,31.301491824870666,39.0,52.61076604554865,50.82213766050097,25.0,52.05590062111801,65.31737853876888,0.03,0.11840579710144927,0.18243780537321325,0.04,0.08898550724637681,0.12231517430071022,0.07,0.13128364389233954,0.15892797071991743,0.07,0.09552795031055901,0.09926640015917693,0.22,0.3880538302277433,0.4466509089218258,472.0,566.0393374741201,465.6961287593755,18.0,25.22153209109731,22.99193869491504,11.0,15.082815734989648,14.107374794427816,17.0,22.991718426501034,20.705100243334417,8.0,11.287784679089027,10.573689056752775,12.0,15.619047619047619,13.918844860282613,3.0,5.277432712215321,7.382386801647225,8.0,10.341614906832298,9.53467503861875,7.0,11.420289855072463,11.917914368855048,764.0,855.824016563147,630.7906058809463,32.0,96.9544513457557,179.4900625893219,161.0,283.2463768115942,311.5901782350174,281.0,364.0703933747412,320.53911280110907,144.0,216.91304347826087,213.773488665154,21.0,35.35403726708075,41.91090281967729,14.0,25.989648033126294,31.831928575674088,408.0,479.3664596273292,363.5096217389243,1052.0,1331.51966873706,1112.6024840325535,15.0,26.63768115942029,31.301491824870666,13.0,17.917184265010352,18.560693720636824,2.0,8.285714285714286,14.583752357996202,13.0,19.44513457556936,19.795913911874166,8.0,13.451345755693582,15.006610343255831,493.0,559.7888198757764,426.2324002758002,25.0,52.05590062111801,65.31737853876888,12.0,15.846790890269151,14.037343683494665,10.0,15.316770186335404,14.966389326209365,1.0,2.440993788819876,4.036418321885871,9.0,25.018633540372672,36.580861158646435,46.0,59.43685300207039,47.1204606212948,10.0,18.48654244306418,21.683821077631173,13.0,18.47826086956522,18.800465791612677
1,Arsenal,26.5,25.954545454545453,3.823203253409779,23.5,23.272727272727273,8.066283844803323,16.5,17.5,10.39574088612392,1478.5,1564.4545454545455,902.9764921937589,2.0,2.8181818181818183,2.8053751745764544,1.5,2.3181818181818183,2.7496556258204516,2.5,2.909090909090909,1.9738550848793073,0.0,0.22727272727272727,0.5284134548067254,1.65,2.563636363636363,2.64098564835275,0.9,1.9318181818181814,2.1877116471514824,23.0,35.31818181818182,32.69685635629847,56.5,77.0,62.4431169717116,52.0,75.95454545454545,77.48823399024143,0.10500000000000001,0.16272727272727272,0.16406101705163637,0.10500000000000001,0.1372727272727273,0.14998989864977472,0.1,0.1527272727272727,0.14166297423250107,0.09,0.11954545454545452,0.11712741424974416,0.22,0.4090909090909091,0.40970266908610325,468.5,717.6818181818181,560.3350516698649,19.5,24.636363636363637,20.726209435778593,12.0,14.681818181818182,12.635499363137344,21.0,21.363636363636363,14.85660172174696,11.0,10.636363636363637,7.575307345928704,10.0,13.681818181818182,11.167070484395772,1.5,4.409090909090909,6.835893301495952,7.5,9.272727272727273,7.88719165532271,6.0,9.636363636363637,8.866982385421583,771.5,1008.9545454545455,673.6841479275218,25.0,75.81818181818181,170.01334299559198,125.0,254.45454545454547,337.02631341000057,296.0,439.0,390.8871472749672,225.0,323.09090909090907,237.02399096794466,38.5,53.77272727272727,50.36148549019598,23.5,30.59090909090909,29.146034755886472,427.0,593.2727272727273,410.1600363410061,1358.0,1677.6363636363637,1143.7038638295003,23.0,35.31818181818182,32.69685635629847,19.5,21.954545454545453,18.367873798531715,4.5,12.136363636363637,15.458994775874642,15.5,20.136363636363637,15.944234529089648,13.5,15.863636363636363,13.52350847174214,552.0,710.8636363636364,492.201884195088,52.0,75.95454545454545,77.48823399024143,14.0,16.954545454545453,11.273556386210767,17.0,17.045454545454547,12.403829181143148,2.0,3.5454545454545454,3.6868785704269667,11.0,32.18181818181818,42.69006393110179,49.5,59.68181818181818,41.36755844589927,10.5,19.90909090909091,19.786741811504783,15.5,19.363636363636363,17.646112358966818
2,Aston Villa,27.0,26.703703703703702,4.130699464095405,21.0,19.77777777777778,10.36018017861337,11.0,14.11111111111111,11.72221209543047,1051.0,1264.6666666666667,948.0664939354607,1.0,1.8888888888888888,3.355057414771058,0.0,1.4814814814814814,2.439583356142387,2.0,2.5185185185185186,2.2424294924233465,0.0,0.07407407407407407,0.2668802563418119,0.8,1.9111111111111112,3.020485612171217,0.4,1.4000000000000001,2.0392306241476312,16.0,23.85185185185185,24.108255374621724,34.0,45.333333333333336,48.721342661807164,17.0,43.81481481481482,52.98551110883415,0.03,0.16111111111111112,0.2819347078441735,0.0,0.07333333333333332,0.09675504359741904,0.07,0.17740740740740737,0.2367828052585256,0.05,0.07703703703703706,0.0754889097720685,0.19,0.444074074074074,0.6826771917591419,479.0,504.85185185185185,429.33389406450624,11.0,21.814814814814813,20.81980757510471,6.0,12.518518518518519,12.710898928358748,11.0,18.666666666666668,19.237383477929708,6.0,8.185185185185185,8.306795350967123,11.0,11.185185185185185,9.156910114716801,3.0,3.740740740740741,4.337604732431807,6.0,7.444444444444445,6.4051261522034855,5.0,8.333333333333334,8.42158399133304,674.0,739.7777777777778,577.1564468171209,32.0,90.11111111111111,194.53283949252796,136.0,251.44444444444446,302.5237858840872,259.0,318.0,302.4356256995986,117.0,177.62962962962962,173.19334419351821,20.0,31.59259259259259,38.31775974989551,17.0,24.37037037037037,30.665876987231446,419.0,418.7037037037037,319.6778203627972,1121.0,1207.111111111111,947.346225935836,16.0,23.85185185185185,24.108255374621724,13.0,14.925925925925926,13.327028423834275,2.0,6.888888888888889,10.671072807913687,10.0,17.11111111111111,21.983093737151968,8.0,13.333333333333334,15.427248620541512,486.0,494.3703703703704,389.0792037370113,17.0,43.81481481481482,52.98551110883415,9.0,14.0,13.575996917637111,9.0,16.88888888888889,17.99002572652484,1.0,1.8518518518518519,2.91816200983933,4.0,19.666666666666668,34.852436180162606,39.0,47.96296296296296,37.0254397797405,8.0,12.851851851851851,12.199318088457314,10.0,14.074074074074074,14.120159962936587
3,Bournemouth,26.0,25.956521739130434,3.8195461518777476,26.0,22.217391304347824,10.180000543575314,17.0,16.695652173913043,11.632379505691295,1670.0,1494.608695652174,1004.3940615266696,1.0,2.347826086956522,3.5879684762496544,1.0,1.6956521739130435,2.0545909260769615,3.0,3.869565217391304,3.0793202884297664,0.0,0.08695652173913043,0.28810406552003043,1.1,2.6826086956521737,3.5771563330151,1.1,1.808695652173913,1.8742060242523695,19.0,29.869565217391305,34.65322279099552,43.0,58.47826086956522,52.052307227893714,31.0,57.65217391304348,71.61171101258647,0.03,0.13521739130434782,0.18007244918788032,0.04,0.10043478260869565,0.11451392376116482,0.08,0.1808695652173913,0.20232541393144277,0.1,0.12826086956521737,0.14858888291686634,0.15,0.5382608695652175,0.6496058397486688,436.0,504.7826086956522,408.761205742617,21.0,27.956521739130434,23.433616608449036,10.0,16.130434782608695,14.50800515021742,25.0,25.608695652173914,21.310985494969454,13.0,13.565217391304348,10.710343712999732,16.0,18.82608695652174,16.694180188733828,3.0,5.739130434782608,7.2627154407372005,8.0,13.08695652173913,12.641608943478749,10.0,14.391304347826088,15.622650020911603,783.0,852.4782608695652,626.5489801331807,44.0,90.26086956521739,153.4657845761495,159.0,257.30434782608694,280.4485748975297,316.0,365.95652173913044,322.8818357261635,133.0,239.7391304347826,238.20430829462043,19.0,39.52173913043478,48.082192474985796,16.0,27.08695652173913,32.48623910558587,483.0,458.3478260869565,342.4985213897283,1183.0,1442.0869565217392,1300.3993062637435,19.0,29.869565217391305,34.65322279099552,17.0,21.08695652173913,20.42706102537483,1.0,9.08695652173913,16.02813731444646,18.0,23.52173913043478,21.605701194607686,8.0,14.08695652173913,17.222905053968788,435.0,499.69565217391306,370.4772640285168,31.0,57.65217391304348,71.61171101258647,16.0,20.52173913043478,17.98451244118215,10.0,15.608695652173912,13.894862132309528,0.0,2.739130434782609,5.074153680479389,10.0,32.95652173913044,41.37245269375788,59.0,73.21739130434783,57.25378631523709,20.0,23.17391304347826,21.29586424618862,22.0,24.608695652173914,20.979945251758842
4,Brentford,24.0,25.666666666666668,3.8643671323171835,28.0,23.523809523809526,11.382526290850583,21.0,18.333333333333332,13.297869503545797,1913.0,1638.095238095238,1122.0364479267998,0.0,2.9047619047619047,5.539898572219188,2.0,1.9523809523809523,2.438774087040259,2.0,2.5238095238095237,1.8873009198071093,0.0,0.047619047619047616,0.21821789023599242,0.8,2.6095238095238096,4.196773136816519,1.2,1.8952380952380952,2.2310258157350376,12.0,25.857142857142858,32.37635821751068,52.0,58.285714285714285,54.49416744674871,27.0,57.57142857142857,77.18003072594065,0.0,0.1157142857142857,0.194642529488584,0.09,0.09857142857142859,0.10412904082366813,0.06,0.12095238095238095,0.16080748620337185,0.08,0.10428571428571426,0.08941875801930087,0.17,0.31523809523809526,0.3816624038023531,489.0,582.2380952380952,445.78513936221617,25.0,27.523809523809526,22.234250712850766,17.0,16.523809523809526,12.890380318745631,26.0,25.476190476190474,20.602473268078878,11.0,11.857142857142858,10.518011762142663,17.0,21.19047619047619,19.307042879786245,4.0,8.714285714285714,12.942730999069928,13.0,12.476190476190476,10.385658609924782,8.0,12.761904761904763,12.300019357321199,804.0,937.047619047619,669.6892171888745,52.0,145.57142857142858,290.90867491853373,232.0,366.4761904761905,421.08082585741414,348.0,349.04761904761904,279.64378702028694,160.0,230.04761904761904,234.92093908174215,24.0,43.0,47.19110085598767,13.0,27.333333333333332,33.91066695500596,410.0,493.6666666666667,361.55391483613244,1204.0,1371.5714285714287,1143.6432822969134,12.0,25.857142857142858,32.37635821751068,11.0,15.952380952380953,18.816153141586064,1.0,9.19047619047619,17.531739923975167,14.0,23.285714285714285,26.448332380592277,8.0,12.571428571428571,13.544635205761093,497.0,573.5238095238095,410.8683023850366,27.0,57.57142857142857,77.18003072594065,12.0,13.333333333333334,10.82281540696936,10.0,15.047619047619047,14.57901296547949,1.0,2.9523809523809526,4.477456761111049,14.0,29.523809523809526,45.98545318643609,50.0,71.0,55.45087916345421,12.0,27.523809523809526,31.921182696790932,14.0,23.952380952380953,23.96137765337417
5,Brighton,24.0,25.923076923076923,5.176277248549014,22.5,20.076923076923077,10.221244843650217,13.5,14.653846153846153,9.943610240520524,1271.5,1307.9615384615386,881.6453926956906,1.0,2.076923076923077,3.0844523264019097,1.0,1.4230769230769231,1.6290629680421056,2.5,2.8846153846153846,2.581889588296495,0.0,0.11538461538461539,0.3258125936084211,0.75,2.0000000000000004,2.7251421981247144,1.25,1.4000000000000001,1.4218298069740978,19.0,27.884615384615383,30.615456126704267,41.0,53.03846153846154,50.64660365254971,29.5,52.26923076923077,64.15266647135265,0.045,0.11576923076923076,0.14442085934997276,0.04,0.09884615384615383,0.1338156021718521,0.08499999999999999,0.11884615384615385,0.11638992819232849,0.08499999999999999,0.10192307692307692,0.08054907725203217,0.255,0.32499999999999996,0.30817202987941655,398.5,551.5384615384615,490.9256750889471,17.0,24.23076923076923,19.614907988176125,11.0,14.76923076923077,12.027660428554482,18.5,24.346153846153847,18.59449877290014,10.0,12.423076923076923,9.12654623358947,12.5,15.346153846153847,12.24726029017856,2.0,4.269230769230769,5.568178821178015,10.5,11.076923076923077,10.039613844857088,9.5,11.153846153846153,9.878025339883706,658.0,824.2692307692307,624.8963791024754,28.5,91.92307692307692,203.56127786529993,139.0,265.2692307692308,334.1089113079516,258.5,358.7692307692308,332.90711109164465,158.0,209.34615384615384,182.25892401914203,17.5,36.11538461538461,43.24934859447196,12.5,27.846153846153847,32.67009924403941,394.0,484.53846153846155,391.41898071189456,1142.0,1454.5,1447.018320547463,19.0,27.884615384615383,30.615456126704267,17.0,19.576923076923077,18.927594832779103,3.0,8.923076923076923,15.496897952617683,13.0,19.884615384615383,19.547535748685913,7.0,11.807692307692308,12.790681704332199,425.0,543.1538461538462,429.8588319258026,29.5,52.26923076923077,64.15266647135265,12.0,15.5,12.497199686329735,9.5,14.423076923076923,14.838256169572157,1.0,1.5769230769230769,1.8584526235140229,10.0,23.5,28.55626025935469,49.0,56.19230769230769,44.409025416704864,14.5,18.192307692307693,18.929382939270326,14.0,16.346153846153847,15.176145248889277
6,Chelsea,24.0,23.625,2.2995746298524145,23.5,20.583333333333332,11.240132548602125,13.5,15.458333333333334,12.025260249074487,1200.5,1390.2916666666667,1046.9193930669687,1.0,2.4166666666666665,3.7638632635454052,1.0,1.8333333333333333,2.315668119696713,3.0,3.875,3.2612680915891277,0.0,0.041666666666666664,0.20412414523193154,0.8500000000000001,2.7374999999999994,4.3422907699087565,1.05,2.0749999999999997,2.544772988935829,15.0,33.375,42.08667299131948,34.5,60.125,64.91687829029152,15.0,61.375,77.70390427211773,0.05,0.14708333333333332,0.21010306304632798,0.065,0.1379166666666667,0.18989652025721035,0.08499999999999999,0.16291666666666668,0.1842134670681689,0.095,0.16083333333333333,0.17512521400332431,0.31,0.47291666666666665,0.5014889063462977,525.5,668.0416666666666,606.5196135877773,12.5,21.75,24.612209765992517,9.0,13.666666666666666,15.196300083634966,12.0,20.25,23.337318500260665,6.5,10.25,12.442039536429988,9.0,13.333333333333334,14.211650660382615,1.5,3.9166666666666665,5.830330490048433,6.5,9.416666666666666,10.34162827422833,7.5,10.291666666666666,11.837593640111399,821.0,933.75,789.0448408484559,20.0,88.54166666666667,186.59744608128477,126.5,276.75,347.1889912600541,267.5,418.4166666666667,427.14796506359596,127.0,246.625,263.94676876054086,14.0,43.708333333333336,53.16788763306587,14.0,29.875,34.64015325299968,485.0,541.5416666666666,432.5776109471613,1459.0,1563.4583333333333,1221.7797061509568,15.0,33.375,42.08667299131948,11.5,18.583333333333332,19.591295020485763,1.5,12.5,22.358735283514157,9.5,17.541666666666668,20.25914536732714,6.5,11.458333333333334,12.307576905116713,586.0,664.5,554.4761726954158,15.0,61.375,77.70390427211773,10.5,16.333333333333332,16.502085946319337,11.0,16.916666666666668,17.181680503592663,1.0,2.5416666666666665,4.77292332867911,3.5,25.541666666666668,41.770573339391085,44.5,58.875,52.444846806161415,9.5,14.291666666666666,17.076500931337517,8.5,14.458333333333334,15.093848924721582
7,Crystal Palace,27.0,26.666666666666668,3.2608792270388265,30.0,24.047619047619047,10.632385388407394,19.0,18.238095238095237,12.87208126879551,1652.0,1633.047619047619,1082.8501039474704,0.0,1.9047619047619047,3.4044788427123747,1.0,1.5238095238095237,2.088517359732679,2.0,3.619047619047619,3.36862272265967,0.0,0.19047619047619047,0.40237390808147827,1.1,2.5523809523809526,3.4639022860957045,1.5,1.9142857142857144,2.12821185841206,11.0,21.714285714285715,22.71154520754336,47.0,50.142857142857146,39.50479175275541,11.0,49.61904761904762,64.75915085181104,0.0,0.08523809523809524,0.1301006936038024,0.03,0.060476190476190475,0.07896050851382548,0.08,0.1414285714285714,0.1406515451136501,0.11,0.10095238095238096,0.0740881071363523,0.34,0.490952380952381,0.46433721326106053,541.0,519.1904761904761,395.3220989329611,21.0,33.142857142857146,29.93540665213305,14.0,19.61904761904762,18.89305742985023,23.0,28.333333333333332,22.050699157471932,15.0,14.142857142857142,9.90598664589103,19.0,21.047619047619047,18.017980437541247,3.0,6.142857142857143,6.908586789537454,13.0,14.904761904761905,12.891488517253398,11.0,14.238095238095237,14.484145683832244,871.0,888.3333333333334,626.8676362146425,30.0,110.66666666666667,217.5197309058039,181.0,330.5238095238095,366.73745637003304,377.0,369.23809523809524,273.5370001959341,146.0,197.0952380952381,188.12519893993596,18.0,34.42857142857143,36.30643390443549,12.0,21.285714285714285,29.93015679401439,430.0,444.76190476190476,315.46186849790655,1004.0,1094.4761904761904,800.9814366792541,11.0,21.714285714285715,22.71154520754336,10.0,15.380952380952381,14.115509875580798,1.0,5.238095238095238,7.509359239673928,16.0,21.666666666666668,21.04835702218426,13.0,14.666666666666666,14.371267631400277,533.0,514.4285714285714,354.96261372552624,11.0,49.61904761904762,64.75915085181104,12.0,18.047619047619047,16.197148485076596,19.0,17.952380952380953,15.86655662226745,1.0,3.1904761904761907,4.9154760463158365,11.0,26.904761904761905,32.74279273657756,64.0,72.9047619047619,54.03601092040822,17.0,22.38095238095238,22.366216019872898,19.0,28.19047619047619,25.862364639798596
8,Everton,27.0,27.761904761904763,5.019011475427825,25.0,22.904761904761905,9.213602780154796,15.0,18.047619047619047,10.53316756952148,1391.0,1612.142857142857,898.7453079551674,1.0,1.5238095238095237,2.1821789023599236,1.0,0.9523809523809523,1.1169686869465265,3.0,3.380952380952381,2.2243244025139517,0.0,0.09523809523809523,0.30079260375911915,1.1,1.7190476190476194,2.066789550878136,0.8,1.2904761904761906,1.1344182482245082,12.0,20.571428571428573,20.97277146342712,43.0,43.80952380952381,36.244474127263935,24.0,43.76190476190476,41.54504153554881,0.03,0.09047619047619049,0.13313437536850467,0.03,0.06428571428571428,0.08623058787758718,0.05,0.10666666666666667,0.12435165191236236,0.05,0.07333333333333335,0.06255664100104268,0.19,0.3357142857142857,0.36752648106730246,437.0,487.2857142857143,341.2653136281422,28.0,31.80952380952381,28.573797520838998,16.0,18.666666666666668,17.22594941747285,24.0,28.19047619047619,22.657491140060163,9.0,13.571428571428571,11.522028591230923,15.0,16.857142857142858,14.495812203135477,3.0,6.095238095238095,9.554604973020925,8.0,10.761904761904763,8.705772578609908,10.0,14.333333333333334,13.177000164427916,805.0,832.3333333333334,510.74018182764246,31.0,105.85714285714286,222.22630035940517,196.0,300.0952380952381,365.3520089943265,305.0,336.7142857142857,237.44749795631515,204.0,204.14285714285714,147.269238374579,20.0,30.80952380952381,26.45301315090409,20.0,27.571428571428573,30.568891750554897,399.0,406.6666666666667,248.01478450554785,780.0,1076.6666666666667,831.5262072438447,12.0,20.571428571428573,20.97277146342712,10.0,15.142857142857142,11.820684050788747,2.0,5.238095238095238,7.238126566348242,13.0,22.095238095238095,20.6613280354985,12.0,16.571428571428573,14.558747983846098,451.0,481.3809523809524,275.59526051630064,24.0,43.76190476190476,41.54504153554881,15.0,18.714285714285715,13.773680906507371,14.0,15.952380952380953,12.823713153670393,1.0,3.619047619047619,6.437982529303651,7.0,29.61904761904762,37.38512563905088,61.0,65.0952380952381,47.555130913398564,11.0,26.095238095238095,29.85281353893593,15.0,24.333333333333332,23.896303758810348
9,Fulham,28.5,28.6,3.4853075073876383,28.0,25.1,9.278724957778696,17.5,17.65,11.577087171150655,1620.5,1585.1,966.6865218771529,0.5,2.4,3.37794705639231,1.0,2.05,2.6452539426400317,2.5,3.45,3.068944615438926,0.0,0.05,0.22360679774997896,1.1,2.23,2.7988907577260336,1.0,1.7250000000000003,1.9474342094150447,22.0,33.2,37.66696165076233,53.0,64.85,50.780513253764866,39.0,67.35,74.0961501947585,0.015,0.16850000000000004,0.2485383587888873,0.08499999999999999,0.10399999999999998,0.1193579314058085,0.085,0.1485,0.1560119765982896,0.085,0.1015,0.0806731547340058,0.26,0.5125,0.577935299602227,652.0,660.55,490.5471139988815,24.0,29.45,23.69204841069545,12.0,17.8,14.930012162014295,19.0,24.45,21.485552061057707,9.0,12.05,11.736021920834835,14.0,14.8,11.005261899368149,2.0,3.75,4.228661602371183,11.5,11.05,8.413491671432448,8.5,12.25,13.745334136583068,976.0,978.9,663.3319324678852,26.5,105.05,244.21614132610182,155.5,312.7,373.53518822475775,388.5,401.7,313.0495336625113,232.5,275.3,234.8957439510469,32.0,40.2,39.805580143069335,18.5,27.45,28.010289462793374,533.5,575.55,409.5118371144381,1222.5,1565.9,1329.92567659368,22.0,33.2,37.66696165076233,18.0,23.65,24.514818289954214,4.5,9.05,11.255291153380636,15.5,22.35,18.81006169720428,8.0,12.15,12.07552984562713,632.5,652.85,440.9527096019064,39.0,67.35,74.0961501947585,16.5,18.7,14.743776563975086,15.5,15.15,11.4766353037263,1.0,2.0,3.340343505815248,15.0,40.05,53.45384137641313,61.0,67.7,45.30028465113308,15.0,21.4,21.738638896044794,19.0,22.5,21.63209117078265
